compound_id,base_rdkit_smiles,relation_cdk1,avg_pIC50_cdk1,relation_cdk2,avg_pIC50_cdk2,relation_cdk4,avg_pIC50_cdk4,relation_cdk5,avg_pIC50_cdk5,relation_cdk6,avg_pIC50_cdk6,relation_cdk7,avg_pIC50_cdk7,relation_cdk8,avg_pIC50_cdk8,relation_cdk9,avg_pIC50_cdk9,relation_cdk12,avg_pIC50_cdk12,relation_cdk13,avg_pIC50_cdk13
CHEMBL1081312,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,,,,,,,,5.899998417198648,,,<,5.40000018605658,,5.899998417198648,<,5.800000874803203,,,,
CHEMBL1081425,N[C@H](CNc1cnc(-c2ccc3cnccc3c2)s1)Cc1ccc(C(F)(F)F)cc1,,,,5.97061622231479,,,,,,,,,,,,,,,,
CHEMBL1081437,N[C@H](CNc1nnc(-c2ccc3[nH]nc(C4CC4)c3c2)s1)Cc1ccc(C(F)(F)F)cc1,,,,6.8696662315049934,,,,,,,,,,,,,,,,
CHEMBL1081438,N[C@H](CNc1nnc(-c2ccc3[nH]nc(-c4ccccc4)c3c2)s1)Cc1cccc(C(F)(F)F)c1,,,,7.102372908709558,,,,,,,,,,,,,,,,
CHEMBL1081439,N[C@H](CNc1nnc(-c2ccc3[nH]ncc3c2)s1)Cc1ccc(F)cc1,,,,7.130768280269024,,,,,,,,,,,,,,,,
CHEMBL1081451,N[C@H](CNc1nnc(-c2ccc3[nH]ncc3c2)s1)Cc1ccc(Cl)cc1,,,,7.387216143280264,,,,,,,,,,,,,,,,
CHEMBL1081628,N[C@H](CNc1nnc(-c2ccc3[nH]ncc3c2)s1)Cc1ccc(C(F)(F)F)cc1,,,,7.619788758288394,,,,,,,,,,,,,,,,
CHEMBL1081629,Cc1cc2cc(-c3nnc(NC[C@@H](N)Cc4ccc(C(F)(F)F)cc4)s3)ccc2cn1,,,,6.216811308924743,,,,,,,,,,,,,,,,
CHEMBL1081660,Nc1noc2ccc(-c3cnc(NC[C@@H](N)Cc4ccc(C(F)(F)F)cc4)s3)cc12,,,<,5.698970004336019,,,,,,,,,,,,,,,,
CHEMBL1081830,N[C@H](CNc1ncc(-c2ccc3nnn(N)c3c2)s1)Cc1ccc(C(F)(F)F)cc1,,,,7.257274868695302,,,,,,,,,,,,,,,,
CHEMBL1081831,N[C@H](CNc1ncc(-c2ccc3c(c2)CC(=O)N3)s1)Cc1ccc(C(F)(F)F)cc1,,6.6020599913279625,,6.732828271596986,,,,,,,,,,,,,,,,
CHEMBL1081852,N[C@H](CNc1ncc(-c2ccc3[nH]c(=O)oc3c2)s1)Cc1ccc(C(F)(F)F)cc1,,,,6.860120913598763,,,,,,,,,,,,,,,,
CHEMBL1081853,N[C@H](CNc1ncc(-c2ccc3[nH]c(=O)sc3c2)s1)Cc1ccc(C(F)(F)F)cc1,,,,6.54515513999149,,,,,,,,,,,,,,,,
CHEMBL1081974,N[C@H](CNc1ncc(-c2ccc3nnccc3c2)s1)Cc1ccc(C(F)(F)F)cc1,,,<,5.698970004336019,,,,,,,,,,,,,,,,
CHEMBL1082016,Cn1c(=O)[nH]c2ccc(-c3cnc(NC[C@@H](N)Cc4ccc(C(F)(F)F)cc4)s3)cc21,,,,6.559090917934782,,,,,,,,,,,,,,,,
CHEMBL1082017,N[C@H](CNc1ncc(-c2ccc3c(c2)CCC(=O)N3)s1)Cc1ccc(C(F)(F)F)cc1,,,<,4.6020599913279625,,,,,,,,,,,,,,,,
CHEMBL1082030,N[C@H](CNc1ncc(-c2ccc3cn[nH]c(=O)c3c2)s1)Cc1ccc(C(F)(F)F)cc1,,,<,6.0,,,,,,,,,,,,,,,,
CHEMBL1082152,Cn1cc(C2=C(c3cccc(NCC(O)CO)c3)C(=O)NC2=O)c2cc(F)ccc21,,,,6.823908740944319,,,,5.167491087293763,,,,7.387216143280264,,4.3979400086720375,,6.3872161432802645,,,,
CHEMBL1082440,Cc1cncc2cccc(S(=O)(=O)N3CCCNCC3C)c12,,5.499999678657065,,5.59999938302362,,,,5.59999938302362,,,,,,,,,,,,
CHEMBL1083150,CNc1ccc(Nc2nccc(-c3sc(C)nc3C)n2)cc1,,6.041436116778033,,6.543633966870957,,6.075720713938118,,,,,,5.372634143407267,,,,6.458420756053419,,,,
